epoch,step,val_loss
0,71,0.40401408076286316
1,143,0.32182127237319946
2,215,0.25509947538375854
3,287,0.20246535539627075
4,359,0.16145946085453033
5,431,0.13046301901340485
6,503,0.10716553777456284
7,575,0.09032906591892242
8,647,0.07827623188495636
9,719,0.07001698017120361
10,791,0.06447063386440277
11,863,0.06088629737496376
12,935,0.05854300782084465
13,1007,0.05716414749622345
14,1079,0.056329816579818726
15,1151,0.05583719164133072
16,1223,0.05558132752776146
17,1295,0.0554313100874424
18,1367,0.05534791573882103
19,1439,0.055307790637016296
