epoch,step,val_loss
0,71,0.24727439880371094
1,143,0.1650485098361969
2,215,0.11169488728046417
3,287,0.07904287427663803
4,359,0.06046836078166962
5,431,0.050496529787778854
6,503,0.045240264385938644
7,575,0.04235469549894333
8,647,0.04052017256617546
9,719,0.03909428045153618
10,791,0.03780381754040718
11,863,0.03651919588446617
12,935,0.03522178903222084
13,1007,0.03390882909297943
14,1079,0.032577984035015106
15,1151,0.03123309090733528
16,1223,0.029873136430978775
17,1295,0.02851809561252594
18,1367,0.027162939310073853
19,1439,0.02579810842871666
