epoch,step,val_loss
0,71,0.960914134979248
1,143,0.835314154624939
2,215,0.7237460613250732
3,287,0.6248034238815308
4,359,0.5374786853790283
5,431,0.4608326852321625
6,503,0.3938584327697754
7,575,0.3358759582042694
8,647,0.28588420152664185
9,719,0.24329298734664917
10,791,0.20706911385059357
11,863,0.17675861716270447
12,935,0.15146274864673615
13,1007,0.13072757422924042
14,1079,0.11378417164087296
15,1151,0.10009658336639404
16,1223,0.08921655267477036
17,1295,0.08068747818470001
18,1367,0.07401909679174423
19,1439,0.0689057856798172
