epoch,step,val_loss
0,71,1.1789268255233765
1,143,0.9171635508537292
2,215,0.7104387879371643
3,287,0.5454949736595154
4,359,0.4140964448451996
5,431,0.3109600841999054
6,503,0.23145440220832825
7,575,0.17147433757781982
8,647,0.1269218921661377
9,719,0.09437615424394608
10,791,0.07098624110221863
11,863,0.054332513362169266
12,935,0.04267736151814461
13,1007,0.03439439833164215
14,1079,0.028400063514709473
15,1151,0.02401038445532322
16,1223,0.020607875660061836
17,1295,0.01791662909090519
18,1367,0.015644725412130356
19,1439,0.0136990612372756
