epoch,step,val_loss
0,71,1.3631556034088135
1,143,1.1926099061965942
2,215,1.0421909093856812
3,287,0.9090853929519653
4,359,0.7920060753822327
5,431,0.6889427304267883
6,503,0.5981716513633728
7,575,0.5184899568557739
8,647,0.4488077163696289
9,719,0.38779109716415405
10,791,0.33477625250816345
11,863,0.2888098359107971
12,935,0.24913281202316284
13,1007,0.2150038182735443
14,1079,0.18599067628383636
15,1151,0.16130906343460083
16,1223,0.1405927687883377
17,1295,0.12328942120075226
18,1367,0.10901486128568649
19,1439,0.09728845953941345
