epoch,step,train_loss_epoch,train_loss_step,val_loss
0,49,,0.16045533120632172,
0,71,,,0.1310170739889145
0,71,0.18519768118858337,,
1,99,,0.10309235006570816,
1,143,,,0.06782697886228561
1,143,0.09673820436000824,,
2,149,,0.06725476682186127,
2,199,,0.03936023265123367,
2,215,,,0.0324992872774601
2,215,0.04859689995646477,,
3,249,,0.02306962013244629,
3,287,,,0.014026254415512085
3,287,0.022266749292612076,,
4,299,,0.012609357945621014,
4,349,,0.006346946116536856,
4,359,,,0.005422411486506462
4,359,0.00917885173112154,,
5,399,,0.0030690771527588367,
5,431,,,0.0018928104545921087
5,431,0.0033980149310082197,,
6,449,,0.0014338939217850566,
6,499,,0.0006784538854844868,
6,503,,,0.000616406206972897
6,503,0.0011477564694359899,,
7,549,,0.0003061703755520284,
7,575,,,0.0002112721122102812
7,575,0.0003754370554815978,,
8,599,,0.0001534388866275549,
8,647,,,9.641097130952403e-05
8,647,0.00014156656106933951,,
9,649,,0.00010268051119055599,
9,699,,7.404798088828102e-05,
9,719,,,6.638182094320655e-05
9,719,7.812869444023818e-05,,
10,749,,5.0485265091992915e-05,
10,791,,,5.793526361230761e-05
10,791,6.14987438893877e-05,,
11,799,,5.465445792651735e-05,
11,849,,5.2845913160126656e-05,
11,863,,,5.4205229389481246e-05
11,863,5.604239777312614e-05,,
12,899,,5.1015358621953055e-05,
12,935,,,5.141226210980676e-05
12,935,5.2930012316210195e-05,,
13,949,,5.625049379887059e-05,
13,999,,4.8778834752738476e-05,
13,1007,,,4.875240847468376e-05
13,1007,5.023258927394636e-05,,
14,1049,,4.475724563235417e-05,
14,1079,,,4.6103272325126454e-05
14,1079,4.7579171223333105e-05,,
15,1099,,4.431232810020447e-05,
15,1149,,4.161477045272477e-05,
15,1151,,,4.3467083742143586e-05
15,1151,4.494033782975748e-05,,
16,1199,,4.173552952124737e-05,
16,1223,,,4.085840191692114e-05
16,1223,4.231943967170082e-05,,
17,1249,,3.742759145097807e-05,
17,1295,,,3.829487832263112e-05
17,1295,3.969362660427578e-05,,
18,1299,,3.730836033355445e-05,
18,1349,,3.355920489411801e-05,
18,1367,,,3.5746626963373274e-05
18,1367,3.713928526849486e-05,,
19,1399,,3.8682926970068365e-05,
19,1439,,,3.326483420096338e-05
19,1439,3.461389133008197e-05,,
