epoch,step,train_loss_epoch,train_loss_step,val_loss
0,49,,0.24252665042877197,
0,71,,,0.2346441000699997
0,71,0.2624938189983368,,
1,99,,0.20401158928871155,
1,143,,,0.18276983499526978
1,143,0.20332364737987518,,
2,149,,0.17252007126808167,
2,199,,0.14103440940380096,
2,215,,,0.14444921910762787
2,215,0.1592516452074051,,
3,249,,0.11572366952896118,
3,287,,,0.11688075214624405
3,287,0.1272106170654297,,
4,299,,0.11209993809461594,
4,349,,0.09456519782543182,
4,359,,,0.09751173108816147
4,359,0.1043248251080513,,
5,399,,0.07018572837114334,
5,431,,,0.08399829268455505
5,431,0.08836453408002853,,
6,449,,0.06861381232738495,
6,499,,0.06278546154499054,
6,503,,,0.0747518241405487
6,503,0.07736803591251373,,
7,549,,0.0732795000076294,
7,575,,,0.06842947751283646
7,575,0.06987456232309341,,
8,599,,0.06765028089284897,
8,647,,,0.06414809823036194
8,647,0.06482424587011337,,
9,649,,0.06703636050224304,
9,699,,0.07199440151453018,
9,719,,,0.06130687892436981
9,719,0.06141089275479317,,
10,749,,0.06310798227787018,
10,791,,,0.059393398463726044
10,791,0.0591377355158329,,
11,799,,0.06304163485765457,
11,849,,0.05131283774971962,
11,863,,,0.058121491223573685
11,863,0.057639654725790024,,
12,899,,0.05912471190094948,
12,935,,,0.057331811636686325
12,935,0.05666689574718475,,
13,949,,0.050007279962301254,
13,999,,0.053391072899103165,
13,1007,,,0.05685108155012131
13,1007,0.056050628423690796,,
14,1049,,0.056817274540662766,
14,1079,,,0.05654284730553627
14,1079,0.0556674525141716,,
15,1099,,0.05663862079381943,
15,1149,,0.057881660759449005,
15,1151,,,0.056354500353336334
15,1151,0.055441584438085556,,
16,1199,,0.06590510904788971,
16,1223,,,0.0562678724527359
16,1223,0.0553063303232193,,
17,1249,,0.052397508174180984,
17,1295,,,0.05620233714580536
17,1295,0.055233173072338104,,
18,1299,,0.059017326682806015,
18,1349,,0.05516369268298149,
18,1367,,,0.0561739057302475
18,1367,0.055192187428474426,,
19,1399,,0.04946766048669815,
19,1439,,,0.05615614354610443
19,1439,0.055170025676488876,,
