epoch,step,val_loss
0,28,0.6276930570602417
1,57,0.5784224271774292
2,86,0.5322672128677368
3,115,0.4898083209991455
4,144,0.45083072781562805
5,173,0.41461381316185
6,202,0.38107869029045105
7,231,0.35040879249572754
8,260,0.32203787565231323
9,289,0.2958596348762512
10,318,0.2718788683414459
11,347,0.2499326765537262
12,376,0.22993233799934387
13,405,0.21157598495483398
14,434,0.19479039311408997
15,463,0.17955829203128815
16,492,0.16577591001987457
17,521,0.15329740941524506
18,550,0.14204645156860352
19,579,0.13182461261749268
