epoch,step,val_loss
0,71,0.7481153607368469
1,143,0.6215865015983582
2,215,0.5140406489372253
3,287,0.4234926700592041
4,359,0.3477655053138733
5,431,0.28480395674705505
6,503,0.23349103331565857
7,575,0.19178365170955658
8,647,0.1584210842847824
9,719,0.13205283880233765
10,791,0.11167551577091217
11,863,0.09606115520000458
12,935,0.08421692252159119
13,1007,0.07549729943275452
14,1079,0.06917890906333923
15,1151,0.064694344997406
16,1223,0.06152736395597458
17,1295,0.0593554861843586
18,1367,0.05789677053689957
19,1439,0.05692492052912712
