epoch,step,val_loss
0,71,0.19107691943645477
1,143,0.08636616170406342
2,215,0.034446392208337784
3,287,0.012674815021455288
4,359,0.004877796862274408
5,431,0.0025390118826180696
6,503,0.0018972143298014998
7,575,0.001704437076114118
8,647,0.001603874727152288
9,719,0.0015188782708719373
10,791,0.0014349098782986403
11,863,0.001350622856989503
12,935,0.0012664106907323003
13,1007,0.0011824289103969932
14,1079,0.0010999679798260331
15,1151,0.001018854440189898
16,1223,0.0009400616399943829
17,1295,0.0008636395796202123
18,1367,0.0007901164935901761
19,1439,0.0007193380733951926
