epoch,step,val_loss
0,71,1.428545594215393
1,143,1.2648402452468872
2,215,1.1182100772857666
3,287,0.9870352149009705
4,359,0.8694133758544922
5,431,0.7638981938362122
6,503,0.669339120388031
7,575,0.5849157571792603
8,647,0.5097411274909973
9,719,0.4429958462715149
10,791,0.38435444235801697
11,863,0.33260563015937805
12,935,0.2876572012901306
13,1007,0.24863208830356598
14,1079,0.21499097347259521
15,1151,0.1861777901649475
16,1223,0.16175954043865204
17,1295,0.14110690355300903
18,1367,0.12396994233131409
19,1439,0.1096121147274971
