epoch,step,val_loss
0,71,0.21803642809391022
1,143,0.17119279503822327
2,215,0.13797622919082642
3,287,0.11444083601236343
4,359,0.09738485515117645
5,431,0.08486656099557877
6,503,0.0756106749176979
7,575,0.06895691156387329
8,647,0.0643385797739029
9,719,0.061147306114435196
10,791,0.058971185237169266
11,863,0.0575576014816761
12,935,0.05664302036166191
13,1007,0.05608396604657173
14,1079,0.05574313923716545
15,1151,0.055529408156871796
16,1223,0.05541060119867325
17,1295,0.055345941334962845
18,1367,0.05531112849712372
19,1439,0.055289722979068756
