epoch,step,val_loss
0,71,0.6509400010108948
1,143,0.5454913973808289
2,215,0.4562370479106903
3,287,0.38098809123039246
4,359,0.3177407383918762
5,431,0.26497262716293335
6,503,0.22117166221141815
7,575,0.1851302832365036
8,647,0.15562251210212708
9,719,0.13181330263614655
10,791,0.11283190548419952
11,863,0.09798314422369003
12,935,0.08641168475151062
13,1007,0.07768310606479645
14,1079,0.07105626165866852
15,1151,0.06625538319349289
16,1223,0.06273426115512848
17,1295,0.06026402860879898
18,1367,0.05855225771665573
19,1439,0.05738164857029915
