epoch,step,train_loss_epoch,train_loss_step,val_loss
0,49,,0.749729335308075,
0,71,,,0.5822307467460632
0,71,0.7276597023010254,,
1,99,,0.4683239459991455,
1,143,,,0.3785747289657593
1,143,0.4775732159614563,,
2,149,,0.29645007848739624,
2,199,,0.2882113754749298,
2,215,,,0.24231119453907013
2,215,0.30665549635887146,,
3,249,,0.19004040956497192,
3,287,,,0.155381977558136
3,287,0.19493675231933594,,
4,299,,0.14414945244789124,
4,349,,0.11204703152179718,
4,359,,,0.10223229229450226
4,359,0.1253483146429062,,
5,399,,0.0792803093791008,
5,431,,,0.07089794427156448
5,431,0.08388794213533401,,
6,449,,0.06355906277894974,
6,499,,0.059213556349277496,
6,503,,,0.053146377205848694
6,503,0.059998705983161926,,
7,549,,0.04424749314785004,
7,575,,,0.043138355016708374
7,575,0.04663104936480522,,
8,599,,0.03820715472102165,
8,647,,,0.03742680698633194
8,647,0.039194464683532715,,
9,649,,0.03930867463350296,
9,699,,0.0369449257850647,
9,719,,,0.03404480218887329
9,719,0.03493804484605789,,
10,749,,0.03472156077623367,
10,791,,,0.03180675208568573
10,791,0.03231777995824814,,
11,799,,0.03441507741808891,
11,849,,0.028515825048089027,
11,863,,,0.030125627294182777
11,863,0.030482951551675797,,
12,899,,0.02468600682914257,
12,935,,,0.0286916084587574
12,935,0.028996393084526062,,
13,949,,0.027988644316792488,
13,999,,0.026058480143547058,
13,1007,,,0.0273387860506773
13,1007,0.027659084647893906,,
14,1049,,0.026669971644878387,
14,1079,,,0.026041744276881218
14,1079,0.026370564475655556,,
15,1099,,0.029192935675382614,
15,1149,,0.024524468928575516,
15,1151,,,0.024759061634540558
15,1151,0.0250996183604002,,
16,1199,,0.022460121661424637,
16,1223,,,0.023478224873542786
16,1223,0.023837998509407043,,
17,1249,,0.029773885384202003,
17,1295,,,0.02220521867275238
17,1295,0.022581983357667923,,
18,1299,,0.021556057035923004,
18,1349,,0.021817179396748543,
18,1367,,,0.02095637284219265
18,1367,0.021335911005735397,,
19,1399,,0.01912679336965084,
19,1439,,,0.019717318937182426
19,1439,0.020105719566345215,,
