epoch,step,train_loss_epoch,train_loss_step,val_loss
0,49,,0.13918070495128632,
0,71,,,0.11576075106859207
0,71,0.1336403638124466,,
1,99,,0.11921682208776474,
1,143,,,0.09318745136260986
1,143,0.10344979166984558,,
2,149,,0.08260758221149445,
2,199,,0.07961583137512207,
2,215,,,0.07961767166852951
2,215,0.08581072837114334,,
3,249,,0.07898546755313873,
3,287,,,0.07062920928001404
3,287,0.07460027933120728,,
4,299,,0.07093559950590134,
4,349,,0.06318575888872147,
4,359,,,0.0646590143442154
4,359,0.06709206104278564,,
5,399,,0.05685030296444893,
5,431,,,0.06091214716434479
5,431,0.06215589866042137,,
6,449,,0.05753520503640175,
6,499,,0.06454091519117355,
6,503,,,0.058648113161325455
6,503,0.05906899645924568,,
7,549,,0.0559157133102417,
7,575,,,0.05735815316438675
7,575,0.05724230036139488,,
8,599,,0.054426755756139755,
8,647,,,0.056690238416194916
8,647,0.05620615556836128,,
9,649,,0.05861007794737816,
9,699,,0.056015219539403915,
9,719,,,0.056358035653829575
9,719,0.05565514788031578,,
10,749,,0.05348247289657593,
10,791,,,0.05619968846440315
10,791,0.05537625029683113,,
11,799,,0.051435306668281555,
11,849,,0.05477070435881615,
11,863,,,0.05615194886922836
11,863,0.05524934455752373,,
12,899,,0.052968982607126236,
12,935,,,0.056135084480047226
12,935,0.05518827214837074,,
13,949,,0.052178140729665756,
13,999,,0.05899321287870407,
13,1007,,,0.05613875389099121
13,1007,0.05516720935702324,,
14,1049,,0.058721840381622314,
14,1079,,,0.05614526569843292
14,1079,0.055157702416181564,,
15,1099,,0.04803726077079773,
15,1149,,0.05236770957708359,
15,1151,,,0.05614187940955162
15,1151,0.05515313148498535,,
16,1199,,0.06291818618774414,
16,1223,,,0.05613734945654869
16,1223,0.05515238642692566,,
17,1249,,0.05320315062999725,
17,1295,,,0.05614383518695831
17,1295,0.05515178665518761,,
18,1299,,0.05365801975131035,
18,1349,,0.05376463383436203,
18,1367,,,0.056143663823604584
18,1367,0.0551510751247406,,
19,1399,,0.05073126405477524,
19,1439,,,0.05616597831249237
19,1439,0.055154673755168915,,
