epoch,step,train_loss_epoch,train_loss_step,val_loss
0,49,,0.32338157296180725,
0,71,,,0.29361891746520996
0,71,0.32244405150413513,,
1,99,,0.2718279957771301,
1,143,,,0.22357413172721863
1,143,0.2449975162744522,,
2,149,,0.20296882092952728,
2,199,,0.18188117444515228,
2,215,,,0.17102402448654175
2,215,0.1866128146648407,,
3,249,,0.1299247443675995,
3,287,,,0.133201465010643
3,287,0.14382702112197876,,
4,299,,0.13929453492164612,
4,349,,0.10100439190864563,
4,359,,,0.10654839873313904
4,359,0.11337272822856903,,
5,399,,0.08430653065443039,
5,431,,,0.08838516473770142
5,431,0.09229516983032227,,
6,449,,0.07847476005554199,
6,499,,0.07247234880924225,
6,503,,,0.07613253593444824
6,503,0.07817618548870087,,
7,549,,0.06993497908115387,
7,575,,,0.06830648332834244
7,575,0.06897402554750443,,
8,599,,0.06938863545656204,
8,647,,,0.06334009766578674
8,647,0.06320144236087799,,
9,649,,0.06385817378759384,
9,699,,0.059595149010419846,
9,719,,,0.06030865013599396
9,719,0.05968010798096657,,
10,749,,0.05459402874112129,
10,791,,,0.058502793312072754
10,791,0.05761569365859032,,
11,799,,0.06913415342569351,
11,849,,0.06056369096040726,
11,863,,,0.05748458951711655
11,863,0.05644360929727554,,
12,899,,0.057418011128902435,
12,935,,,0.0568852461874485
12,935,0.05581004172563553,,
13,949,,0.05756121501326561,
13,999,,0.05719117075204849,
13,1007,,,0.05656218156218529
13,1007,0.055468738079071045,,
14,1049,,0.05373850092291832,
14,1079,,,0.056371189653873444
14,1079,0.05529758706688881,,
15,1099,,0.053841400891542435,
15,1149,,0.06453683227300644,
15,1151,,,0.05627256631851196
15,1151,0.055217195302248,,
16,1199,,0.05751687288284302,
16,1223,,,0.056219860911369324
16,1223,0.0551769845187664,,
17,1249,,0.05963263660669327,
17,1295,,,0.05618167668581009
17,1295,0.05516006052494049,,
18,1299,,0.05600091814994812,
18,1349,,0.05436449497938156,
18,1367,,,0.05617038905620575
18,1367,0.05515483766794205,,
19,1399,,0.057271260768175125,
19,1439,,,0.05615702271461487
19,1439,0.055149856954813004,,
