epoch,step,val_loss
0,14,0.596078634262085
1,29,0.5446253418922424
2,44,0.49685531854629517
3,59,0.45256054401397705
4,74,0.4118529260158539
5,89,0.3741947412490845
6,104,0.33926835656166077
7,119,0.3072522282600403
8,134,0.27782922983169556
9,149,0.25132298469543457
10,164,0.22743181884288788
11,179,0.20530053973197937
12,194,0.18558739125728607
13,209,0.16752518713474274
14,224,0.15113553404808044
15,239,0.13661925494670868
16,254,0.12346217781305313
17,269,0.11156760156154633
18,284,0.10112181305885315
19,299,0.09173633903265
