epoch,step,train_loss_epoch,train_loss_step,val_loss
0,49,,0.026726795360445976,
0,71,,,0.023370997980237007
0,71,0.09128908812999725,,
1,99,,0.018432676792144775,
1,143,,,0.007180684711784124
1,143,0.014866613782942295,,
2,149,,0.00702617596834898,
2,199,,0.002082021441310644,
2,215,,,0.0014633879764005542
2,215,0.00353771704249084,,
3,249,,0.001079391106031835,
3,287,,,0.0006884619942866266
3,287,0.0010523819364607334,,
4,299,,0.0006110677495598793,
4,349,,0.0005175432306714356,
4,359,,,0.0004236983950249851
4,359,0.0005666057113558054,,
5,399,,0.0002673625131137669,
5,431,,,0.00029150009504519403
5,431,0.000370661960914731,,
6,449,,0.00024713235325179994,
6,499,,0.00018388753233011812,
6,503,,,0.0002082062856061384
6,503,0.00025825356715358794,,
7,549,,0.00017926222062669694,
7,575,,,0.00015804803115315735
7,575,0.00019180863455403596,,
8,599,,0.0003298355150036514,
8,647,,,0.00012103303015464917
8,647,0.00014807438128627837,,
9,649,,0.00013307854533195496,
9,699,,0.00010905282397288829,
9,719,,,9.507472714176401e-05
9,719,0.00011450314923422411,,
10,749,,7.099114736774936e-05,
10,791,,,7.538891804870218e-05
10,791,9.06794230104424e-05,,
11,799,,0.00010170890163863078,
11,849,,3.895599365932867e-05,
11,863,,,6.245006807148457e-05
11,863,7.212392665678635e-05,,
12,899,,4.962378807249479e-05,
12,935,,,4.981017627869733e-05
12,935,5.900444375583902e-05,,
13,949,,3.65058149327524e-05,
13,999,,3.2843283406691626e-05,
13,1007,,,4.16821421822533e-05
13,1007,4.9323840357828885e-05,,
14,1049,,3.731205652002245e-05,
14,1079,,,3.6020221159560606e-05
14,1079,4.137317228014581e-05,,
15,1099,,5.7016917708097026e-05,
15,1149,,3.921545066987164e-05,
15,1151,,,3.114865467068739e-05
15,1151,3.5594228393165395e-05,,
16,1199,,3.4423370379954576e-05,
16,1223,,,2.7730740839615464e-05
16,1223,3.144955917377956e-05,,
17,1249,,2.179230796173215e-05,
17,1295,,,2.4474433303112164e-05
17,1295,2.759494054771494e-05,,
18,1299,,2.427291838102974e-05,
18,1349,,2.5276436645071954e-05,
18,1367,,,2.2826190615887754e-05
18,1367,2.4756507627898827e-05,,
19,1399,,2.450246574881021e-05,
19,1439,,,2.2000242097419687e-05
19,1439,2.264022987219505e-05,,
