epoch,step,train_loss_epoch,train_loss_step,val_loss
0,49,,0.03144730255007744,
0,71,,,0.026471873745322227
0,71,0.0658566802740097,,
1,99,,0.01790475845336914,
1,143,,,0.004855690058320761
1,143,0.014949696138501167,,
2,149,,0.0032965519931167364,
2,199,,0.00159056659322232,
2,215,,,0.0011351210996508598
2,215,0.0022025268990546465,,
3,249,,0.0010031068231910467,
3,287,,,0.0008473455673083663
3,287,0.0009913871763274074,,
4,299,,0.0007028421387076378,
4,349,,0.0005719891632907093,
4,359,,,0.0006618628976866603
4,359,0.0007652956410311162,,
5,399,,0.0007283070008270442,
5,431,,,0.0005184979527257383
5,431,0.0006027442868798971,,
6,449,,0.0004708675551228225,
6,499,,0.00044975572382099926,
6,503,,,0.0004071529838256538
6,503,0.00047196162631735206,,
7,549,,0.00030133509426377714,
7,575,,,0.0003223086823709309
7,575,0.00037082505878061056,,
8,599,,0.00023202551528811455,
8,647,,,0.0002537564723752439
8,647,0.00029304169584065676,,
9,649,,0.0002868268929887563,
9,699,,0.00020633911481127143,
9,719,,,0.00020308728562667966
9,719,0.00023468064318876714,,
10,749,,0.00015068343782331795,
10,791,,,0.0001689774653641507
10,791,0.00018995540449395776,,
11,799,,9.779960237210616e-05,
11,849,,0.00010848608508240432,
11,863,,,0.00014048628509044647
11,863,0.00015688780695199966,,
12,899,,0.0001619835675228387,
12,935,,,0.00011584115418372676
12,935,0.00012969665112905204,,
13,949,,7.390884275082499e-05,
13,999,,8.56494007166475e-05,
13,1007,,,9.384399163536727e-05
13,1007,0.0001071225997293368,,
14,1049,,8.207459904951975e-05,
14,1079,,,7.797058788128197e-05
14,1079,8.806550613371655e-05,,
15,1099,,9.519469313090667e-05,
15,1149,,7.921013457234949e-05,
15,1151,,,6.490809028036892e-05
15,1151,7.338773866649717e-05,,
16,1199,,4.729256761493161e-05,
16,1223,,,5.404552211984992e-05
16,1223,6.143351492937654e-05,,
17,1249,,5.366626282921061e-05,
17,1295,,,4.641402847482823e-05
17,1295,5.156642873771489e-05,,
18,1299,,3.4520027838880196e-05,
18,1349,,4.228768011671491e-05,
18,1367,,,3.8468122511403635e-05
18,1367,4.3260984966764227e-05,,
19,1399,,2.149106512661092e-05,
19,1439,,,3.347605888848193e-05
19,1439,3.632118387031369e-05,,
