epoch,step,val_loss
0,71,0.10701717436313629
1,143,0.09039857238531113
2,215,0.07978491485118866
3,287,0.07227769494056702
4,359,0.0667458102107048
5,431,0.06277764588594437
6,503,0.060058608651161194
7,575,0.05823684483766556
8,647,0.057043496519327164
9,719,0.05630924925208092
10,791,0.05586012452840805
11,863,0.05560417100787163
12,935,0.05546062812209129
13,1007,0.05537187680602074
14,1079,0.055328045040369034
15,1151,0.05530409514904022
16,1223,0.055288877338171005
17,1295,0.05528368055820465
18,1367,0.055282291024923325
19,1439,0.05528520047664642
