epoch,step,val_loss
0,71,0.990519106388092
1,143,0.8331217169761658
2,215,0.6967182755470276
3,287,0.5806090831756592
4,359,0.4819648861885071
5,431,0.3987666964530945
6,503,0.3294465243816376
7,575,0.271885484457016
8,647,0.22490081191062927
9,719,0.1866975873708725
10,791,0.15609832108020782
11,863,0.13177402317523956
12,935,0.11271429806947708
13,1007,0.09790239483118057
14,1079,0.08652497828006744
15,1151,0.07786952704191208
16,1223,0.07143984735012054
17,1295,0.06665407866239548
18,1367,0.06319698691368103
19,1439,0.060719311237335205
