epoch,step,val_loss
0,71,0.060122404247522354
1,143,0.05606623739004135
2,215,0.05541331321001053
3,287,0.055304113775491714
4,359,0.055278584361076355
5,431,0.05527058243751526
6,503,0.055267926305532455
7,575,0.05526817962527275
8,647,0.0552656464278698
9,719,0.05526955425739288
10,791,0.05526686832308769
11,863,0.05526943504810333
12,935,0.05526197329163551
13,1007,0.055277399718761444
14,1079,0.05527973547577858
15,1151,0.05526907369494438
16,1223,0.05528469383716583
17,1295,0.05526675656437874
18,1367,0.05528458207845688
19,1439,0.05527237802743912
