epoch,step,train_loss_epoch,train_loss_step,val_loss
0,49,,0.020196201279759407,
0,71,,,0.00849566888064146
0,71,0.044128622859716415,,
1,99,,0.002656765980646014,
1,143,,,0.0004744624893646687
1,143,0.0026816013269126415,,
2,149,,0.00044084686669521034,
2,199,,0.00014343502698466182,
2,215,,,0.00012716434139292687
2,215,0.00023748472449369729,,
3,249,,8.441798854619265e-05,
3,287,,,7.595956412842497e-05
3,287,9.771958866622299e-05,,
4,299,,7.555228512501344e-05,
4,349,,5.11103862663731e-05,
4,359,,,5.117763430462219e-05
4,359,6.354525248752907e-05,,
5,399,,5.1821851229760796e-05,
5,431,,,3.8060879887780175e-05
5,431,4.723334495793097e-05,,
6,449,,3.5299264709465206e-05,
6,499,,2.9540140531025827e-05,
6,503,,,3.0700728530064225e-05
6,503,3.677060885820538e-05,,
7,549,,2.6360907213529572e-05,
7,575,,,2.574698009993881e-05
7,575,2.9785343940602615e-05,,
8,599,,2.276584564242512e-05,
8,647,,,2.0994200895074755e-05
8,647,2.4666476747370325e-05,,
9,649,,1.9510411220835522e-05,
9,699,,1.6209187378990464e-05,
9,719,,,1.8170056137023494e-05
9,719,2.0602014046744443e-05,,
10,749,,1.6126992704812437e-05,
10,791,,,1.6123600289574824e-05
10,791,1.7716542060952634e-05,,
11,799,,1.9197708752471954e-05,
11,849,,1.4507020750897937e-05,
11,863,,,1.4347806427394971e-05
11,863,1.5224384696921334e-05,,
12,899,,1.2528175830084365e-05,
12,935,,,1.2059251275786664e-05
12,935,1.3418542039289605e-05,,
13,949,,1.3616022442874964e-05,
13,999,,1.0006539014284499e-05,
13,1007,,,1.0692351679608691e-05
13,1007,1.1765430826926604e-05,,
14,1049,,8.9837913037627e-06,
14,1079,,,9.839108315645717e-06
14,1079,1.0680725608835928e-05,,
15,1099,,7.916799404483754e-06,
15,1149,,1.0009295692725573e-05,
15,1151,,,8.903943125915248e-06
15,1151,9.738539120007772e-06,,
16,1199,,7.78515914134914e-06,
16,1223,,,8.173273272404913e-06
16,1223,8.845430784276687e-06,,
17,1249,,8.697175871930085e-06,
17,1295,,,7.486250979127362e-06
17,1295,8.117513971228618e-06,,
18,1299,,1.1302749044261873e-05,
18,1349,,8.157307092915289e-06,
18,1367,,,7.203477252915036e-06
18,1367,7.595999250042951e-06,,
19,1399,,6.1812293097318616e-06,
19,1439,,,6.9380225795612205e-06
19,1439,7.052883574942825e-06,,
